Category,Field Name,DB Column,Data Type,ATTOM Source,Basic,Complete,Verified,Enhanced,Premium,Elite,User Editable,Shown on Frontend?,Where Displayed,Consolidation Recommendation
Physical,bedrooms,bedrooms,number,Yes (pre-fill),Optional,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Yes,Yes — PROMINENT,"PropertyCard (stat), PropertyDetail (stat box), Dashboard (tier calc), PreListingChecklist",REVIEW: User field + attomSnapshot.physical.beds both shown. Keep both — same fallback pattern.
Physical,bathrooms,bathrooms,number,Yes (pre-fill),Optional,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Yes,Yes — PROMINENT,"PropertyCard (stat), PropertyDetail (stat box), PreListingChecklist",Keep — same fallback pattern with ATTOM.
Physical,squareFeet,square_feet,number,Yes (pre-fill),Optional,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Yes,Yes — PROMINENT,"PropertyCard (stat), PropertyDetail (stat box), Dashboard (total sqft), PreListingChecklist",Keep — same fallback pattern with ATTOM.
Physical,lotSize,lot_size,number,Yes (pre-fill),Optional,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Yes,Yes — SECONDARY,"PropertyDetail (stat box), PreListingChecklist",Keep — important property attribute.
Physical,yearBuilt,year_built,number,Yes (pre-fill),Optional,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Yes,Yes — SECONDARY,"PropertyDetail (stat box), PreListingChecklist",Keep — same fallback pattern with ATTOM.
Physical,features,features,JSON array,No,Optional,Optional,Optional,Optional,Optional,Optional,Yes,Yes — SECONDARY,"PropertyDetail (tag pills section)",Keep — user-curated feature list.
Housing Costs,propertyTax,property_tax,number,Yes (pre-fill),Optional,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Yes,Yes — SECONDARY,"PropertyDetail (sidebar row: $/year)",REVIEW: Also exists as attomSnapshot.tax.taxAmount. User value is editable and displayed; ATTOM is reference. Keep both.
Housing Costs,hasHOA,has_hoa,boolean,No,Optional,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Yes,No — NOT SHOWN,"Only in EditProperty + GetVerified forms; PropertyDetail only shows hoaFee amount",CONSIDER: Display 'No HOA' on PropertyDetail when hasHOA=false — useful info for buyers.
Housing Costs,hoaFee,hoa_fee,number,No,Optional,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,Yes,Yes — SECONDARY,"PropertyDetail (sidebar row: $/month)",Keep — shown to buyers. Conditional on hasHOA=yes.
Housing Costs,hasInsurance,has_insurance,boolean,No,Optional,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Yes,No — NOT SHOWN,"Only in EditProperty + GetVerified forms",CONSIDER: Could display 'Insured' badge on PropertyDetail. Useful buyer info.
Housing Costs,insuranceApproximation,insurance_approximation,number,No,Optional,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,Yes,No — NOT SHOWN,"Only in EditProperty + GetVerified forms",RECOMMEND: Show on PropertyDetail sidebar as '$/year' — buyers care about total carrying costs.
Pricing,price,price,number,No,Optional,Optional,Optional,Optional,Optional,Optional,Yes,Yes — PROMINENT,"PropertyCard (main heading), PropertyDetail (header + sidebar), Dashboard (portfolio value, offers), Map popups, SubmitOffer",Keep — primary display price.
Pricing,estimatedWorth,estimated_worth,number,No,Optional,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Yes,Yes — SECONDARY,"PropertyDetail (header + sidebar), Dashboard (portfolio value fallback), PreListingChecklist","REVIEW: 4 pricing fields may confuse users. estimatedWorth = owner's opinion, price = asking price. Keep — distinct purpose."
Pricing,makeMeMovePrice,make_me_move_price,number,No,Optional,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Yes,Yes — SECONDARY,"PropertyDetail (header + sidebar), PreListingChecklist",Keep — unique platform concept; shown to buyers.
Pricing,funkEstimate,funk_estimate,number,Yes (AVM),Optional,Optional,Optional,Optional,Optional,Optional,No,Yes — SECONDARY,"Dashboard (portfolio value fallback chain: estimatedWorth > funkEstimate > price)","CONSOLIDATE: Derived from attomSnapshot.valuation.avmValue. Could be computed on-the-fly instead of storing separately. Currently only used in Dashboard portfolio calc."
Description,description,description,text,No,Optional,Optional,REQUIRED (200+ chars),REQUIRED,REQUIRED,REQUIRED,Yes,Yes — PROMINENT,"PropertyDetail (description section)",Keep — core content field.
Description,legalDescription,legal_description,text,No,Optional,Optional,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Yes,No — NOT SHOWN,"Only in EditProperty + GetVerified forms","RECOMMEND: Show on PropertyDetail in a 'Legal' or 'Public Records' section. Buyers and agents need this. Currently collected for Verified tier but hidden."
Photos & Media,photos,photos,JSON array,No,Optional (1+),REQUIRED (1+),REQUIRED (5+),REQUIRED (15+),REQUIRED (15+),REQUIRED (15+),Yes,Yes — PROMINENT,"PropertyCard (carousel), PropertyDetail (gallery with nav), Feed (post images)",Keep — primary visual content.
Photos & Media,professionalPhotos,professional_photos,boolean,No,Optional,Optional,Optional,REQUIRED (true),REQUIRED (true),REQUIRED (true),Yes,No — NOT SHOWN,"Only in EditProperty + GetVerified forms","RECOMMEND: Show as 'Professional Photos' badge on PropertyDetail/PropertyCard. Collected for Enhanced tier but invisible to buyers."
Photos & Media,floorPlanUrl,floor_plan_url,string (URL),No,Optional,Optional,Optional,REQUIRED,REQUIRED,REQUIRED,Yes,No — NOT SHOWN,"Only in EditProperty + GetVerified forms","RECOMMEND: Show on PropertyDetail as viewable/downloadable link or embedded image. Buyers want floor plans. Collected for Enhanced tier but hidden."
Photos & Media,videoTourUrl,—,string (URL),No,Optional,Optional,Optional,REQUIRED*,REQUIRED*,REQUIRED*,Yes,No — NOT SHOWN,"Only in verificationScores.js tier check","CONSOLIDATE: Three separate video fields (videoTourUrl, videoFiles, videos) all checked as alternatives. Recommend consolidating into single 'videos' array. Also RECOMMEND showing videos on PropertyDetail."
Photos & Media,videoFiles,video_files,JSON array,No,Optional,Optional,Optional,REQUIRED*,REQUIRED*,REQUIRED*,Yes,No — NOT SHOWN,"Only in verificationScores.js tier check","CONSOLIDATE: Merge with videoTourUrl into unified 'videos' field. Show on PropertyDetail."
Photos & Media,matterportTourUrl,matterport_tour_url,string (URL),No,Optional,Optional,Optional,Optional,REQUIRED,REQUIRED,Yes,No — NOT SHOWN,"Only in EditProperty + GetVerified forms","RECOMMEND: Embed Matterport iframe on PropertyDetail. This is premium content collected for Premium tier but completely invisible to visitors."
Mortgage & Financing,hasMortgage,has_mortgage,boolean,No,Optional,Optional,Optional,Optional,Optional,Optional,Yes,Yes — SECONDARY,"PreListingChecklist (Step 2: Title & Ownership verification box)",Keep — shown in checklist workflow.
Mortgage & Financing,remainingMortgage,remaining_mortgage,number,No,Optional,Optional,Optional,Optional,Optional,Optional,Yes,Yes — SECONDARY,"PreListingChecklist (Step 2), Dashboard (equity calculation)",Keep — used for equity calc + checklist display.
Mortgage & Financing,mortgageDocUrl,mortgage_doc_url,string (URL),No,Optional,Optional,Optional,Optional,Optional,REQUIRED*,Yes,No — NOT SHOWN,"Only in EditProperty form; tier check only",Keep — document storage for Elite tier. Private/seller-only document.
Mortgage & Financing,payoffOrLienReleaseUrl,payoff_or_lien_release_url,string (URL),No,Optional,Optional,Optional,Optional,Optional,REQUIRED*,Yes,No — NOT SHOWN,"Only in EditProperty form; tier check only",Keep — document storage for Elite tier. Private/seller-only document.
Liens,lienTax,lien_tax,boolean,No,Optional,Optional,Optional,Optional,Optional,Optional,Yes,Yes — SECONDARY,"PreListingChecklist (Step 2: verification box)","CONSIDER: Could consolidate lienTax + lienHOA + lienMechanic + lienOther into single 'liens' JSON object. Current separate booleans work fine for checkboxes but add 4 DB columns."
Liens,lienHOA,lien_hoa,boolean,No,Optional,Optional,Optional,Optional,Optional,Optional,Yes,Yes — SECONDARY,"PreListingChecklist (Step 2: verification box)","CONSIDER: Part of liens consolidation opportunity."
Liens,lienMechanic,lien_mechanic,boolean,No,Optional,Optional,Optional,Optional,Optional,Optional,Yes,Yes — SECONDARY,"PreListingChecklist (Step 2: verification box)","CONSIDER: Part of liens consolidation opportunity."
Liens,lienOther,lien_other_details,string,No,Optional,Optional,Optional,Optional,Optional,Optional,Yes,Yes — SECONDARY,"PreListingChecklist (Step 2: verification box)","CONSIDER: Part of liens consolidation opportunity."
Insurance Claims,hasInsuranceClaims,has_insurance_claims,boolean,No,Optional,Optional,Optional,Optional,Optional,REQUIRED,Yes,No — NOT SHOWN,"Only in EditProperty form; tier check only","RECOMMEND: Show on PropertyDetail — insurance claims history is legally important buyer disclosure."
Insurance Claims,insuranceClaimsDescription,insurance_claims_description,text,No,Optional,Optional,Optional,Optional,Optional,REQUIRED*,Yes,No — NOT SHOWN,"Only in EditProperty form; tier check only","RECOMMEND: Show on PropertyDetail if hasInsuranceClaims=yes."
Insurance Claims,insuranceClaimsReportUrl,insurance_claims_report_url,string (URL),No,Optional,Optional,Optional,Optional,Optional,REQUIRED*,Yes,No — NOT SHOWN,"Only in EditProperty form; tier check only",Keep — document storage. Could make available to serious buyers.
Documents,deedUrl,deed_url,string (URL),No,Optional,Optional,Optional,REQUIRED,REQUIRED,REQUIRED,Yes,Yes — SECONDARY,"PreListingChecklist (Step 1: deed upload link)","Keep — shown in checklist; private seller document."
Documents,propertyTaxRecordUrl,property_tax_record_url,string (URL),No,Optional,Optional,Optional,Optional,Optional,Optional,Yes,No — NOT SHOWN,"Only in EditProperty form","Keep — supplementary document. Low display priority."
Documents,hoaDocsUrl,hoa_docs_url,string (URL),No,Optional,Optional,Optional,REQUIRED*,REQUIRED*,REQUIRED*,Yes,No — NOT SHOWN,"Only in EditProperty + GetVerified forms","CONSIDER: Show on PropertyDetail for HOA properties — buyers need HOA rules/fees/CC&Rs."
Documents,disclosureFormsUrl,disclosure_forms_url,string (URL),No,Optional,Optional,Optional,Optional,REQUIRED,REQUIRED,Yes,No — NOT SHOWN,"Only in EditProperty + GetVerified forms","RECOMMEND: Show on PropertyDetail — legally required buyer disclosures. Collected for Premium tier but hidden from buyers."
Documents,inspectionReportUrl,inspection_report_url,string (URL),No,Optional,Optional,Optional,Optional,Optional,REQUIRED,Yes,No — NOT SHOWN,"Only in EditProperty + GetVerified forms","RECOMMEND: Show on PropertyDetail — inspection reports are highly valued by buyers. Collected for Elite tier but hidden."
Documents,valuationDocUrl,valuation_doc_url,string (URL),No,Optional,Optional,Optional,REQUIRED*,REQUIRED*,REQUIRED*,Yes,No — NOT SHOWN,"Only in EditProperty + GetVerified forms","Keep — part of 'verified pricing' alternative set. Private valuation document."
Documents,compReportUrl,comp_report_url,string (URL),No,Optional,Optional,Optional,REQUIRED*,REQUIRED*,REQUIRED*,Yes,No — NOT SHOWN,"Only in EditProperty + GetVerified forms","Keep — part of 'verified pricing' alternative set. Could show summary to buyers."
Documents,verifiedComps,verified_comps,JSON array,No,Optional,Optional,Optional,REQUIRED*,REQUIRED*,REQUIRED*,No,Yes — SECONDARY,"PreListingChecklist (Step 3: comparable properties list with parcelId, address, lat/lng, closingValue, estimate)","Keep — part of 'verified pricing' alternative set. Shown in checklist."
Verification,thirdPartyReviewConfirmed,third_party_review_confirmed,boolean,No,Optional,Optional,Optional,Optional,Optional,REQUIRED*,No,No — NOT SHOWN,"Only in verificationScores.js tier check","CONSOLIDATE: Elite tier check already accepts valuationDocUrl OR compReportUrl as alternatives. This field + vendorId could be removed if valuation/comp docs are always the mechanism."
Verification,thirdPartyReviewVendorId,third_party_review_vendor_id,string,No,Optional,Optional,Optional,Optional,Optional,REQUIRED*,No,No — NOT SHOWN,"Only in verificationScores.js tier check","CONSOLIDATE: Same as above — redundant with valuationDocUrl/compReportUrl path."
Status & Listing,status,status,enum,No,Auto,Auto,Auto,Auto,Auto,Auto,Partial,Yes — SECONDARY,"PropertyCard (Under Contract badge), PropertyDetail (sidebar status row)",Keep — core listing state.
Status & Listing,archived,archived,boolean,No,Optional,Optional,Optional,Optional,Optional,Optional,Yes,Yes — SECONDARY,"PropertyDetail (archived badge + restore button)",Keep — soft delete mechanism.
Status & Listing,availableForSale,available_for_sale,boolean,No,Optional,Optional,Optional,Optional,Optional,Optional,Yes,Yes — SECONDARY,"PropertyCard (Listed/Off Market tag), PropertyDetail (sidebar toggle)",Keep — listing visibility control.
Status & Listing,acceptingOffers,accepting_offers,boolean,No,Optional,Optional,Optional,Optional,Optional,Optional,Yes,Yes — SECONDARY,"PropertyDetail (sidebar toggle + Submit Offer button availability)",Keep — offer flow control.
Status & Listing,acceptingCommunications,accepting_communications,boolean,No,Default true,Default true,Default true,Default true,Default true,Default true,Yes,Yes — SECONDARY,"PropertyCard (Accepting/Not accepting tag), PropertyDetail (sidebar toggle + warning message)",Keep — communication flow control.
Status & Listing,verified,verified,boolean,No,Optional,Optional,Optional,Optional,Optional,Optional,No,No — NOT SHOWN,"Only in verificationScores.js (alternative path to Verified tier)",Keep — admin/manual verification override.
Status & Listing,verifiedAt,verified_at,timestamp,No,Optional,Optional,Optional,Optional,Optional,Optional,No,No — NOT SHOWN,"Never displayed anywhere",REVIEW: Only meaningful if 'verified' boolean is used. Could be removed if manual verification path is unused.
Seller Info,sellerName,seller_name,string,No,Auto,Auto,Auto,Auto,Auto,Auto,No,Yes — SECONDARY,"PropertyDetail (Message seller link text)",Keep — seller identification.
Seller Info,sellerEmail,seller_email,string,No,Auto,Auto,Auto,Auto,Auto,Auto,No,No — NOT SHOWN,"Never displayed on frontend",Keep — needed for backend notifications/communication.
Timestamps,createdAt,created_at,timestamp,No,Auto,Auto,Auto,Auto,Auto,Auto,No,No — NOT SHOWN,"Never displayed",Keep — audit trail.
Timestamps,updatedAt,updated_at,timestamp,No,Auto,Auto,Auto,Auto,Auto,Auto,No,No — NOT SHOWN,"Never displayed",Keep — audit trail.
ATTOM Snapshot,attomSnapshot,attom_snapshot,JSONB,Yes (all),Auto,Auto,Auto,Auto,Auto,Auto,No,Yes — SECONDARY,"PropertyDetail only — 7 expandable sections (A-G) with 35+ sub-fields",Keep — comprehensive public records data. Displayed only on PropertyDetail.
ATTOM — A: Physical,attomSnapshot.physical.propertyType,—,string,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section (fallback for user propertyType)",Keep — reference data with fallback display.
ATTOM — A: Physical,attomSnapshot.physical.livingAreaSqft,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section (fallback for user squareFeet)",Keep — reference data with fallback display.
ATTOM — A: Physical,attomSnapshot.physical.lotSizeSqft,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section (fallback for user lotSize)",Keep — reference data with fallback display.
ATTOM — A: Physical,attomSnapshot.physical.yearBuilt,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section (fallback for user yearBuilt)",Keep — reference data with fallback display.
ATTOM — A: Physical,attomSnapshot.physical.beds,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section (fallback for user bedrooms)",Keep — reference data with fallback display.
ATTOM — A: Physical,attomSnapshot.physical.baths,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section (fallback for user bathrooms)",Keep — reference data with fallback display.
ATTOM — A: Physical,attomSnapshot.physical.constructionType,—,string,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section only (no user equivalent)",Keep — ATTOM-exclusive data.
ATTOM — A: Physical,attomSnapshot.physical.stories,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section only (no user equivalent)",Keep — ATTOM-exclusive data.
ATTOM — B: Ownership,attomSnapshot.ownership.currentOwnerNames,—,string[],Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — public records reference.
ATTOM — B: Ownership,attomSnapshot.ownership.lastSalePrice,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — public records reference.
ATTOM — B: Ownership,attomSnapshot.ownership.lastTransferDate,—,string,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — public records reference.
ATTOM — B: Ownership,attomSnapshot.ownership.lastDeedType,—,string,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — public records reference.
ATTOM — B: Ownership,attomSnapshot.ownership.lastRecordingDate,—,string,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — public records reference.
ATTOM — B: Ownership,attomSnapshot.ownership.ownershipChain,—,object[],Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section (expandable list)",Keep — public records reference.
ATTOM — C: Mortgage,attomSnapshot.mortgage.activeMortgages,—,object[],Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — public records reference.
ATTOM — C: Mortgage,attomSnapshot.mortgage.refinanceEvents,—,object[],Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — public records reference.
ATTOM — C: Mortgage,attomSnapshot.mortgage.secondaryLiensOrHelocs,—,object[],Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — public records reference.
ATTOM — D: Sales,attomSnapshot.salesHistory.salesHistory,—,object[],Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — public records reference.
ATTOM — E: Valuation,attomSnapshot.valuation.avmValue,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section","REVIEW: funkEstimate is derived from this. Could compute funkEstimate on-the-fly instead of storing separately."
ATTOM — E: Valuation,attomSnapshot.valuation.avmHigh,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — valuation range.
ATTOM — E: Valuation,attomSnapshot.valuation.avmLow,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — valuation range.
ATTOM — E: Valuation,attomSnapshot.valuation.estimatedEquity,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — equity insight.
ATTOM — E: Valuation,attomSnapshot.valuation.estimatedLTV,—,number/string,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — financing insight.
ATTOM — E: Valuation,attomSnapshot.valuation.priceTrendIndicators,—,string,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — market trend.
ATTOM — E: Valuation,attomSnapshot.valuation.confidenceScore,—,number/string,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — AVM reliability.
ATTOM — F: Tax,attomSnapshot.tax.assessedValueLand,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — tax record.
ATTOM — F: Tax,attomSnapshot.tax.assessedValueImprovement,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — tax record.
ATTOM — F: Tax,attomSnapshot.tax.assessedValueTotal,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — tax record.
ATTOM — F: Tax,attomSnapshot.tax.taxMarketValue,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — tax record.
ATTOM — F: Tax,attomSnapshot.tax.marketValueLand,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — tax record.
ATTOM — F: Tax,attomSnapshot.tax.marketValueImprovement,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — tax record.
ATTOM — F: Tax,attomSnapshot.tax.taxYear,—,number/string,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — tax record.
ATTOM — F: Tax,attomSnapshot.tax.taxAmount,—,number,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section","REVIEW: Duplicates user-entered propertyTax. ATTOM value is reference; user value is primary."
ATTOM — F: Tax,attomSnapshot.tax.exemptions,—,string[],Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — tax exemptions.
ATTOM — G: Distress,attomSnapshot.distress.foreclosureFilings,—,object[],Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — distress indicators.
ATTOM — G: Distress,attomSnapshot.distress.preForeclosure,—,boolean/object,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — distress indicators.
ATTOM — G: Distress,attomSnapshot.distress.auctionNotices,—,object[],Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — distress indicators.
ATTOM — G: Distress,attomSnapshot.distress.reoStatus,—,string,Yes,—,—,—,—,—,—,No,Yes — SECONDARY,"PropertyDetail ATTOM section",Keep — distress indicators.
